,Unnamed: 0,p_value,Text1,Text2,TextGrouping
0,455,0.0002,On the Eternity of the World,Against Flaccus,1
1,456,0.0005,On the Eternity of the World,On the Embassy to Gaius,1
4,25,0.0206,On the Eternity of the World,On the Cherubim,4
8,135,0.0227,On the Eternity of the World,On the Giants,4
10,184,0.0175,On the Eternity of the World,On Agriculture,4
21,382,0.0105,On the Eternity of the World,On the Life of Abraham,3
22,394,0.0014,On the Eternity of the World,On the Life of Joseph,3
23,405,0.0006,On the Eternity of the World,On the Life of Moses,3
24,415,0.0148,On the Eternity of the World,On the Decalogue,3
26,432,0.0002,On the Eternity of the World,On the Virtues,3
27,439,0.0011,On the Eternity of the World,On Rewards and Punishments,3
29,450,0.0025,On the Eternity of the World,On the Contemplative Life,2
