,Unnamed: 0,p_value,Text1,Text2,TextGrouping
0,87,0.0387,On the Posterity and Exile of Cain,On the Giants,4
2,89,0.0181,On the Posterity and Exile of Cain,On Agriculture,4
13,100,0.0172,On the Posterity and Exile of Cain,On the Life of Abraham,3
14,101,0.003,On the Posterity and Exile of Cain,On the Life of Joseph,3
15,102,0.0014,On the Posterity and Exile of Cain,On the Life of Moses,3
16,103,0.0259,On the Posterity and Exile of Cain,On the Decalogue,3
18,105,0.0004,On the Posterity and Exile of Cain,On the Virtues,3
19,106,0.0018,On the Posterity and Exile of Cain,On Rewards and Punishments,3
21,108,0.0043,On the Posterity and Exile of Cain,On the Contemplative Life,2
23,110,0.0004,On the Posterity and Exile of Cain,Against Flaccus,1
24,111,0.001,On the Posterity and Exile of Cain,On the Embassy to Gaius,1
27,2,0.0237,On the Posterity and Exile of Cain,On the Cherubim,4
