,Unnamed: 0,p_value,Text1,Text2,TextGrouping
0,462,0.0,On the Embassy to Gaius,On the Creation of the World,3
1,463,0.0002,On the Embassy to Gaius,Allegorical Interpretations,4
3,56,0.009,On the Embassy to Gaius,On the Sacrifices of Cain and Abel,4
4,84,0.004,On the Embassy to Gaius,The Worse Attacks the Better,4
5,111,0.001,On the Embassy to Gaius,On the Posterity and Exile of Cain,4
7,162,0.0009,On the Embassy to Gaius,On the Unchangeableness of God,4
10,231,0.0097,On the Embassy to Gaius,On Drunkeness,4
12,272,0.0226,On the Embassy to Gaius,On the Confusion of Tongues,4
14,309,0.0,On the Embassy to Gaius,Who is the Heir?,4
15,326,0.0359,On the Embassy to Gaius,On the Preliminary Studies,4
16,342,0.0035,On the Embassy to Gaius,On Flight and Finding,4
17,357,0.0005,On the Embassy to Gaius,On the Change of Names,4
18,371,0.0049,On the Embassy to Gaius,On Dreams,4
23,426,0.0374,On the Embassy to Gaius,On the Special Laws,3
26,447,0.0151,On the Embassy to Gaius,Every Good Man is Free,2
28,456,0.0005,On the Embassy to Gaius,On the Eternity of the World,2
