,Unnamed: 0,p_value,Text1,Text2,TextGrouping
0,294,0.0345,Who is the Heir?,On the Preliminary Studies,4
4,298,0.0016,Who is the Heir?,On the Life of Abraham,3
5,299,0.0001,Who is the Heir?,On the Life of Joseph,3
6,300,0.0,Who is the Heir?,On the Life of Moses,3
7,301,0.0012,Who is the Heir?,On the Decalogue,3
8,302,0.0289,Who is the Heir?,On the Special Laws,3
9,303,0.0,Who is the Heir?,On the Virtues,3
10,304,0.0001,Who is the Heir?,On Rewards and Punishments,3
12,306,0.0004,Who is the Heir?,On the Contemplative Life,2
14,308,0.0,Who is the Heir?,Against Flaccus,1
15,309,0.0,Who is the Heir?,On the Embassy to Gaius,1
18,11,0.0011,Who is the Heir?,On the Cherubim,4
22,121,0.0031,Who is the Heir?,On the Giants,4
24,170,0.003,Who is the Heir?,On Agriculture,4
25,193,0.0108,Who is the Heir?,On Planting,4
27,236,0.0279,Who is the Heir?,On Sobriety,4
28,256,0.0476,Who is the Heir?,On the Confusion of Tongues,4
29,275,0.0131,Who is the Heir?,On the Migration of Abraham,4
