,Unnamed: 0,p_value,Text1,Text2,TextGrouping
1,430,0.0106,On the Virtues,Every Good Man is Free,2
3,432,0.0002,On the Virtues,On the Eternity of the World,2
6,435,0.0,On the Virtues,On the Creation of the World,3
7,436,0.0001,On the Virtues,Allegorical Interpretations,4
9,50,0.0057,On the Virtues,On the Sacrifices of Cain and Abel,4
10,78,0.0022,On the Virtues,The Worse Attacks the Better,4
11,105,0.0004,On the Virtues,On the Posterity and Exile of Cain,4
13,156,0.0005,On the Virtues,On the Unchangeableness of God,4
15,203,0.0442,On the Virtues,On Planting,4
16,225,0.0072,On the Virtues,On Drunkeness,4
17,246,0.0325,On the Virtues,On Sobriety,4
18,266,0.0152,On the Virtues,On the Confusion of Tongues,4
20,303,0.0,On the Virtues,Who is the Heir?,4
21,320,0.0239,On the Virtues,On the Preliminary Studies,4
22,336,0.0018,On the Virtues,On Flight and Finding,4
23,351,0.0003,On the Virtues,On the Change of Names,4
24,365,0.0027,On the Virtues,On Dreams,4
29,420,0.0187,On the Virtues,On the Special Laws,3
