,Unnamed: 0,p_value,Text1,Text2,TextGrouping
1,460,0.0,Against Flaccus,On the Creation of the World,3
2,461,0.0001,Against Flaccus,Allegorical Interpretations,4
4,55,0.0026,Against Flaccus,On the Sacrifices of Cain and Abel,4
5,83,0.0014,Against Flaccus,The Worse Attacks the Better,4
6,110,0.0004,Against Flaccus,On the Posterity and Exile of Cain,4
8,161,0.0002,Against Flaccus,On the Unchangeableness of God,4
10,208,0.0207,Against Flaccus,On Planting,4
11,230,0.0027,Against Flaccus,On Drunkeness,4
12,251,0.0328,Against Flaccus,On Sobriety,4
13,271,0.0083,Against Flaccus,On the Confusion of Tongues,4
14,290,0.0296,Against Flaccus,On the Migration of Abraham,4
15,308,0.0,Against Flaccus,Who is the Heir?,4
16,325,0.014,Against Flaccus,On the Preliminary Studies,4
17,341,0.0012,Against Flaccus,On Flight and Finding,4
18,356,0.0002,Against Flaccus,On the Change of Names,4
19,370,0.0011,Against Flaccus,On Dreams,4
24,425,0.0128,Against Flaccus,On the Special Laws,3
27,446,0.0105,Against Flaccus,Every Good Man is Free,2
29,455,0.0002,Against Flaccus,On the Eternity of the World,2
