,ID,StringText
0,Section1Sent1,"„Ἐξῆλθε δὲ Κάιν ἀπὸ προσώπου τοῦ θεοῦ, καὶ ᾤκησεν ἐν γῇ
Ναὶδ κατέναντι"
1,Section1Sent2,"Ἐδέμ“ (Gen. 4, 16). νυνὶ διαπορῶμεν, εἰ χρὴ τῶν ἐν
ταῖς διερμηνευθείσαις βίβλοις ὑπὸ Μωυσέως τροπικώτερον ἀκούειν, τῆς
ἐν τοῖς ὀνόμασι προχείρου φαντασίας"
2,Section1Sent3,πολὺ τἀληθοῦς ἀπᾳδούσης.
3,Section2Sent1,"εἰ γὰρ  πρόσωπον μὲν ἔχει τὸ ὄν,"
4,Section2Sent2,"ὁ δὲ βουλόμενος αὐτὸ καταλιπεῖν ἑτέρωσε
μετανίστασθαι ῥᾷστα δύναται, τί τὴν Ἐπικούρειον ἀσέβειαν ἢ τὴν τῶν
Αἰγυπτίων ἀθεότητα ἢ τὰς μυθικὰς ὑποθέσεις, ὧν μεστὸς ὁ βίος ἐστί,
παραιτούμεθα;"
5,Section3Sent1,"πρόσωπον μὲν γὰρ ζῴου τμῆμά ἐστιν,"
6,Section3Sent2,"ὁ δὲ θεὸς ὅλον, οὐ μέρος· ὥστ’ ἀνάγκη καὶ τὰ ἄλλα προσαναπλάττειν, αὐχένα καὶ
 στέρνα καὶ χεῖρας καὶ βάσεις,"
7,Section3Sent3,"ἔτι   δ’ αὖ γαστέρα καὶ τὰ γεννητικὰ
καὶ τὸ ἄλλο τῶν ἐντός τε καὶ ἐκτὸς ἀνάριθμον πλῆθος."
8,Section4Sent1,"ἀκολουθεῖ δ’ ἐξ ἀνάγκης τῷ ἀνθρωπομόρφῳ τὸ ἀνθρωποπαθές, ἐπεὶ καὶ ταῦτα οὐ περιττὰ
καὶ παρέλκοντα,"
9,Section4Sent2,"τῆς δὲ τῶν ἐχόντων ἐπίκουρα ἀσθενείας ἡ φύσις ἀπειργάζετο
τὰ ὅσα πρὸς τὰς οἰκείας χρείας τε καὶ ὑπηρεσίας ἀκολούθως
 ἐφαρμόττουσα."
10,Section4Sent3,"τὸ δὲ ὂν οὐδενὸς χρεῖον, ὥστ’ εἰ μηδὲ τῆς ἀπὸ τῶν
μερῶν ὠφελείας, οὐδ’ ἂν ἔχοι μέρη τὸ παράπαν."
11,Section5Sent1,ἐξέρχεται δὲ
12,Section5Sent2,πόθεν; ἢ ἐκ τῶν βασιλείων τοῦ πανηγεμόνος;
13,Section5Sent3,"θεοῦ δὲ οἶκος αἰσθητὸς
τίς ἂν εἴη"
14,Section5Sent4,"πλὴν ὅδε ὁ κόσμος, ὃν καταλείπειν ἀμήχανόν τε καὶ ἀδύνατον;"
15,Section5Sent5,"πάντα γὰρ ὧν γένεσίς ἐστιν οὐρανοῦ κύκλος περισφίγξας ἐντὸς
ἑαυτοῦ κατέχει."
16,Section5Sent6,"καὶ γὰρ αἱ τῶν τετελευτηκότων ἀναστοιχειούμεναι
μοῖραι πάλιν εἰς τὰς τοῦ παντὸς δυνάμεις ἐξ ὧν συνέστησαν ἀποκρίνονται, 
τοῦ δανεισθέντος ἑκάστῳ δανείσματος κατὰ προθεσμίας ἀνίσους ἀποδιδομένου
τῇ συμβαλούσῃ φύσει, ὁπότε βουληθείη τὰ ἑαυτῆς χρέα κομίζεσθαι"
17,Section5Sent7,.
18,Section6Sent1,"καὶ μὴν ὅ γε ἐξιὼν ἀπό τινος ἐν ἑτέρῳ χωρίῳ τὸ ἀπολειπόμενον
ἑαυτοῦ·"
19,Section6Sent2,"τῷ δὲ συμβέβηκεν ἀκολουθεῖν τὸ χηρεύειν τινὰ μέρη τῶν
ἐν κόσμῳ θεοῦ μηδὲν κενὸν μηδὲ ἔρημον ἑαυτοῦ καταλελοιπότος, ἀλλὰ 
 πάντα διὰ πάντων ἐκπεπληρωκότος."
20,Section7Sent1,"εἰ δὲ μήτε πρόσωπον ἔχει ὁ θεὸς
ἅτε τὰς τῶν γεγονότων ἰδιότητας ἁπάντων ἐκβεβηκὼς μήτε ἐν μέρει
καταγίνεται ἅτε περιέχων, οὐ περιεχόμενος,"
