,ID,StringText
0,Section1Sent1,"""And after this,"" says Moses, ""it came to pass that the angels of God went in unto the daughters of men, and they bore children unto them."""
1,Section1Sent2,"It is worth while, therefore, to consider what is meant by the expression, ""And after this."""
2,Section1Sent3,"It is therefore a reference to something that has been said before, for the purpose of explaining it more clearly;"
3,Section2Sent1,"and a mention of the divine spirit has already been made, as he has already stated, that it is very difficult for it to remain throughout all ages in the soul, which is divisible into many parts, and which assumes many forms, and is clothed with a most heavy burden, namely its bulk of flesh; after this spirit, therefore, the angels of God go in unto the daughters of men."
4,Section3Sent1,"For as long as the pure rays of wisdom shine forth in the soul, by means of which the wise man sees God and his powers, no one of those who bring false news ever enters into the reason, but all such are kept at a distance outside of the sacred threshhold."
5,Section3Sent2,"But when the light of the intellect is dimmed and overshadowed, then the companions of darkness having become victorious, associate themselves with the dissolute and effeminate passions which the prophet calls the daughters of men, and they bear children to them and not to God."
6,Section4Sent1,"For the appropriate progeny of God are the perfect virtues, but that offspring which is akin to the wicked, is unregulated wickedness."
7,Section4Sent2,"But learn thou, if thou wilt, O my mind, not to bear children to thyself, after the example of that perfect man Abraham, who offered up to God ""The beloved and only legitimate offspring of his soul,""  the most conspicuous image of self-taught wisdom, by name Isaac; and who gave him up with all cheerfulness to be a necessary and fitting offering to God."
8,Section4Sent3,"""Having bound,""  as the scripture says, this new kind of victim, either because he, having once tasted of the divine inspiration, did not condescend any longer to tread on any mortal truth, or because he saw that the creature was"
9,Section4Sent4,"unstable and moveable, while he recognised the unhesitating firmness existing in the living God, on whom he is said to have believed."
10,Section5Sent1,His disciple and successor was Hannah.
11,Section5Sent2,"The gift of the wisdom of God, for the interpretation of the name is her grace."
12,Section5Sent3,"For when she had become pregnant, having received the divine seed, and after she had completed the time of her labour, she brought forth, in the manner appointed by the arrangement of God, a son, whom she called Samuel; and the name Samuel being interpreted, means ""appointed by God."""
13,Section5Sent4,She therefore having received him restores him to the giver; not looking upon anything as a good belonging to herself which is not divine grace.
14,Section6Sent1,"For in the first book of Kings,  she speaks in this manner: ""I give him unto thee freely,"" the expression here used being equivalent to, ""I give him unto thee whom thou hast given to me."""
15,Section6Sent2,"According to that most sacred scripture of Moses, ""My gifts and my offerings, and my first fruits, ye shall observe to offer unto me."""
16,Section7Sent1,For to what other being should one bring gifts of gratitude except to God?
17,Section7Sent2,and what offerings can one bring unto him except of those things which have been given to us by him?
18,Section7Sent3,For it is not possible for us to have an abundance of anything else.
19,Section7Sent4,"And he has no need of any of those things which he enjoins men to offer unto him, but he bids us bring unto him the things which are his own, through the excess of his beneficence to our race."
20,Section7Sent5,"For we, studying to conduct ourselves with gratitude to him, and to show him all honours, should purify ourselves from sin, washing off all things that can stain our life in words, or appearance, or actions."
21,Section8Sent1,"For it is foolishness to imagine, that it is unlawful to enter into temples, unless a man has first washed his body and made that look bright, but that one may attempt to sacrifice and to pray with a mind still polluted and disordered."
22,Section8Sent2,"And yet temples are made of stones and timber, mere lifeless materials, and it is not possible for the body, if it is devoid of life by its own nature, to touch things devoid of life, without using ablutions and purifying ceremonies of holiness; and shall any one endure to approach God without being purified as to his soul, shall any one while impure come near to the purest of all beings, and this too without having any intention of repenting?"
23,Section9Sent1,"Let him, indeed who, in addition"
24,Section9Sent2,"to having committed no new crimes, has also endeavoured to wash off his old misdeeds, come cheerfully before him; but let the man who is without any such preparation, and who is impure, keep aloof."
25,Section9Sent3,"For he will never escape the notice of him who can look into the recesses of the heart, and who walketh in its most secret places."
26,Section10Sent1,"Now the most evident sign of a soul devoted to God is that song in which that expression occurs, ""She that was barren has borne seven children, and she that had many children has become weak."""
27,Section11Sent1,"And yet she who is speaking is in reality only the mother of one son, namely, of Samuel."
28,Section11Sent2,"How then does she say that she has borne seven children, unless indeed any one thinks that the unit is in its strictest nature identical with the number seven, not only in number, but also in the harmony of the universe, and in the reasonings of the soul which is devoted to virtue?"
29,Section11Sent3,"For he who was devoted to the one God, that is Samuel, and who had no connection whatever with any other being, is adorned according to that essence which is single and the real unit;"
30,Section12Sent1,"and this is the constitution of the number seven, that is to say, of the soul that rests in God, and which no longer concerns itself about any mortal employment, when it has quitted the number six which it allotted to those who were not able to attain to the first rank, but who of necessity contented themselves with arriving at the second."
31,Section13Sent1,"It is therefore not incredible that the barren woman, not being one who is incapable of becoming fruitful, but one who is still vigorous and fresh, striving for the chief reward in the arena of fortitude, patience, and perseverance, may bring forth a seven, equal in honour to the unit, of which numbers, nature is very productive and prolific."
32,Section14Sent1,"And she says, that ""she that had many children has become weak,"" speaking accurately and very plainly."
33,Section14Sent2,"For when the soul, although only one, brings forth many children when separated from the one, it then naturally becomes infinite in number; and then being weighed down and overwhelmed by the multitude of children who depend upon it, (and the greatest part of them are premature and abortive), it becomes weak."
34,Section15Sent1,"For it brings forth the desire of forms and colours, as gratified by the eyes, and the pleasures arising from sound, as gratified by the ears."
35,Section15Sent2,It is pregnant
36,Section15Sent3,"also of the pleasures of the belly and of the parts beneath the belly, so that, as many children are attached to it, it becomes exhausted by bearing this heavy burden, and drops its hands from weakness, and faints away."
37,Section15Sent4,"And in this way it comes to pass that all those things are subdued which bring forth perishable children to themselves, who are likewise perishable."
38,Section16Sent1,"But some persons, through their self-love, have incurred not only defeat but even death also."
39,Section16Sent2,"At all events Onan, ""knowing that the seed should not be his,""  did not desist from injuring the rational principle, which is the best thing in kind of all existing things, until he himself met with utter destruction."
40,Section16Sent3,"And this, too, very properly and deservedly;"
41,Section17Sent1,"for if some men do all things for the sake of themselves alone, not with a view to the honour of their parents, or the proper regulation of their children, or the salvation of their country, or the guardianship of the laws, or the preservation of good morals, or with a view to the due performance of any public or private duty, or of a proper celebration of sacred rites, or the pious worship due to the gods, they will be deservedly miserable."
42,Section18Sent1,"For the sake of one of the objects which I have mentioned, it is glorious even to quit life itself."
43,Section18Sent2,"But these men say that, unless they are likely to gain some pleasure by the pursuit of them, they would disregard the whole lot of them— glorious objects as they are."
44,Section18Sent3,"Therefore, the incorruptible God banishes the wicked exposition of unnatural opinion, which is named Onan."
