,ID,StringText
0,Section1Sent1,"Τὰ περὶ μέθης καὶ τῆς ἑπομένης αὐτῇ γυμνότητος εἰρημένα
τῷ νομοθέτῃ διεξεληλυθότες πρότερον ἀρξώμεθα τοῖς λεχθεῖσι τὸν ἑξῆς
προσαρμόττειν λόγον· περίεστι τοίνυν ἐν τοῖς χρησμοῖς ἀκόλουθα τάδε·"
1,Section1Sent2,"„ἐξένηψε δὲ Νῶε ἀπὸ τοῦ οἴνου καὶ ἔγνω ὅσα ἐποίησεν αὐτῷ ὁ υἱὸς
 αὐτοῦ"
2,Section1Sent3,"ὁ νεώτερος„ (Gen. 9,24)."
3,Section2Sent1,τὸ νήφειν οὐ μόνον ψυχαῖς ἀλλὰ καὶ σώμασιν ὠφελιμώτατον ἀνωμολόγηται·
4,Section2Sent2,"τάς τε γὰρ ἐξ ἀμέτρου πλησμονῆς
γινομένας νόσους ἀπωθεῖται καὶ τὰς αἰσθήσεις πρὸς ἄκρας ὀξύτητας
ἀκονᾷ"
5,Section2Sent3,"καὶ ὅλα μέντοι τὰ σώματα οὐκ ἐᾷ βαρυνόμενα πίπτειν, ἀλλ’
ἐξαίρει καὶ ἐπικουφίζει καὶ πρὸς τὰς οἰκείους ἐνεργείας ἀνακαλεῖ πᾶσι
 τοῖς μέρεσιν ἑτοιμότητα ἐντίκτον· καὶ συνόλως ὅσων δημιουργὸς κακῶν
ἡ μέθη, τοσούτων ἔμπαλιν ἀγαθῶν τὸ νηφάλιον."
6,Section3Sent1,"ὁπότ’ οὖν καὶ σώμασιν, οἷς ἡ οἴνου πόσις οἰκεῖον, λυσιτελέστατον τὸ νήφειν,"
7,Section3Sent2,"οὐ πολὺ
μᾶλλον ψυχαῖς, ὧν φθαρτὴ τροφὴ πᾶσα ἀλλότριον;"
8,Section3Sent3,"νηφούσης γὰρ διανοίας
τί τῶν παρὰ ἀνθρώποις μεγαλειότερον;"
9,Section3Sent4,τίς δόξα;
10,Section3Sent5,"τίς πλοῦτος; τίς
 δυναστεία;"
11,Section3Sent6,"τίς ἰσχύς; τί τῶν πάντων ὅσα θαυμάζεται; φέρε μόνον τὸ
ψυχῆς ὄμμα ὅλον ἰσχῦσαι δι’ ὅλων διοιχθῆναι καὶ μηδὲν οἷα ὑπὸ ῥεύματος
συγχυθῆναι μέρος ἢ καταμῦσαι·"
12,Section3Sent7,"τότε γὰρ μάλιστα ὀξυωπῆσαν,
 σύνεσιν καὶ φρόνησιν αὐτὴν ἐμβλέπον, τοῖς νοητοῖς   ἀγάλμασιν ἐντεύξεται,
ὧν ἡ θέα ψυχαγωγοῦσα πρὸς οὐδὲν ἔτι τῶν αἰσθητῶν ἀπονεύειν ἐάσει."
13,Section3Sent8,"καὶ τί θαυμάζομεν,"
14,Section4Sent1,"εἰ τῷ νηφαλίῳ τῆς ψυχῆς καὶ βλέποντι ὀξυωπέστατα
τῶν γένεσιν λαχόντων μηδέν ἐστιν ἰσότιμον;"
15,Section4Sent2,"καὶ γὰρ οἱ τοῦ σώματος
ὀφθαλμοὶ καὶ τὸ αἰσθητὸν φῶς περιττῶς πρὸς ἡμῶν πάντων τετίμηται·
πολλοὶ γοῦν τῶν τὰς ὄψεις ἀποβαλόντων καὶ τὸ ζῆν ἑκουσίως προσαπέβαλον
κουφότερον κακὸν πηρώσεως θάνατον εἶναι δικάσαντες ἑαυτοῖς."
