,ID,StringText
0,Section1Sent1,"Having examined in the preceding treatise what has been said by the lawgiver about wine and the nakedness which attends upon it, we will now begin to connect the the following essay with the statements advanced in that work."
1,Section1Sent2,"Now in the sacred scriptures we come to the following words immediately after the account we have just been examining, ""And Noah awoke from his wine, and knew all that his younger son had done to him."""
2,Section2Sent1,"Sobriety is confessed to be a most advantageous thing, not only for souls but also for bodies, for it drives away the diseases which arise from immoderate repletion, and it sharpens the outward senses to an exceeding degree of acuteness, and it altogether prevents"
3,Section2Sent2,"bodies from being weighed down so as to fall, but keeps them light, and raises them up, and incites them to the exercise of their appropriate energies, implanting in every part a promptness and vigour; and in short, sobriety is the cause of exactly as many good things, as drunkenness, on the contrary, is of evils."
4,Section3Sent1,"Since then sobriety is most advantageous to those bodies to which the drinking of wine is naturally suitable, is it not much more so to souls, with which all perishable food is inconsistent; for what thing in human nature can be more noble than a sober mind?"
5,Section3Sent2,what glory can be more glorious?
6,Section3Sent3,what wealth can be more rich?
7,Section3Sent4,what authority more powerful?
8,Section3Sent5,what strength more vigorous?
9,Section3Sent6,of all admirable things what can be more admirable?
10,Section3Sent7,"Let there only be the eye of the soul fit to act, which is able to penetrate every where and to open every thing, being in no part hindered or dimmed by the suffusion of its own moisture; for being then most exceedingly sharp-sighted as to its comprehension, and looking into wisdom itself, it will meet with images such as are intelligible only by the intellect, the contemplation of which attracts the soul and will not suffer it any longer to turn aside to the objects which belong to the outward senses."
11,Section4Sent1,"And why should we wonder if there is no created thing equal in honour to a man who is sober in his soul, and gifted with acute vision?"
12,Section4Sent2,for the eyes of the body and the light which is appreciable by the outward senses are honoured in an excessive degree by all of us.
13,Section4Sent3,"Accordingly, many who have lost their sight, have voluntarily also thrown away life, thinking as far as they were concerned, that death itself was a lighter evil than such deprivation."
14,Section5Sent1,"In proportion then as the soul is superior to the body, in the same proportion also is the mind better than the eyes; and the mind while it is free from injury and imperfection, not being oppressed by any of the iniquities or passions which are produced by insane drunkenness, renounces sleep as a thing which causes forgetfulness and hesitation in what is to be done; but it embraces wakefulness, and uses acuteness of vision, with respect to every object worthy of being beheld, being kept awake by exceedingly perfect memory, and committing actions which are in accordance with the knowledge that it acquires."
15,Section6Sent1,"Such then is the condition of the sober man; but when Moses speaks of Noah’s ""younger son,"" he is not so much meaning to make a statement respecting his age, as to show the disposition with which those persons are endued who are inclined to innovation; since how could he have forced himself to see, what ought not to be seen, in defiance of all law and justice, or to divulge what ought to have been concealed in silence, or to bring to light what might have been kept in the shade at home, and to transgress all the boundaries which should confine the soul, if he had not been eager for change and innovation, laughing at what happens to others when he ought rather to lament over such accidents, and not to ridicule things which it was more natural and decent and proper to grieve for."
16,Section7Sent1,"In many places indeed of the exposition of the law, Moses speaks of those who are somewhat advanced in age as young men, and on the other hand those who are not yet arrived at old age he entitles elders; not having regard to the number of their years, whether it be a short or a very long time that they have lived, but to the faculties of their soul, according to the way in which it is influenced, whether it be for good or for evil."
17,Section8Sent1,"Accordingly he calls Ishmael when he has now lived a space of nearly twenty years a child, speaking by a comparison with Isaac who is perfect in virtue; for, says he, ""he took bread, and a skin of water, and gave it to Agar, and put it upon her shoulder, and the child also, when Abraham sent them forth from his house."""
18,Section8Sent2,"And again he says, ""She put the child down under a pine tree;"" and further on he says, ""that I may not see the death of the child."""
19,Section8Sent3,"And yet before Ishmael was born and circumcised, thirteen years before the birth of Isaac, and having been now weaned for more than seven years, he was banished with his mother, because he being illegitimate was mocking the legitimate son, as though he were on terms of equality with him."
20,Section9Sent1,"But nevertheless, though in reality a young man, he is still called a child, being as it were a sophist put in comparison with a wise man; for Isaac received wisdom for his inheritance, and Ishmael sophistry, as when we define the characters of each we purpose to show in certain dialogues."
21,Section9Sent2,For the same relation which a completely infant child bears to a full-grown
22,Section9Sent3,"man, the same does a sophist bear to a wise man, and the encyclical branches of education to real knowledge in virtue."
23,Section10Sent1,"And again in his great song he calls the whole people, when it is smitten with a desire of innovation by the name suited to foolish and infant age, entitling them ""children."""
24,Section10Sent2,"""For,"" says he, ""the Lord is just and holy; have they not sinned against him, blameworthy children that they are?"
25,Section10Sent3,"O crooked and perverse generation, is this the requital that ye offer to the Lord? is the people so foolish and not wise?"""
26,Section11Sent1,"Therefore, he here distinctly calls those men children who deserve blame and have guilt in their souls, and who through folly and senselessness commit many errors in their actions which are not according to uprightness of life; not having regard to the bodily age of the children, but to the irrational and really childish condition of their minds."
27,Section12Sent1,"Thus indeed, Rachel also, that is beauty of body, is represented as younger than Leah, who is beauty of soul."
28,Section12Sent2,"For the beauty of the body is mortal, but that of the soul is immortal; and all the things which are accounted honourable when judged of with reference to the outward senses, are all taken together inferior to the one single thing, the beauty of the soul."
29,Section12Sent3,"And it is in accordance with this principle that Joseph is always spoken of as young and as ""the youngest."""
30,Section12Sent4,"For when he manages the flock ""with his illegitimate brethren,""  he is called young; and when his father prays for him, he says, ""My youngest son whom I have prayed for, return to me."""
31,Section13Sent1,"This is the champion of all the power of the body and the unflattering companion of the abundant supply of external things, who has not yet found out any perfect good more valuable and honourable than that of the elder soul; for if he had found it, he would have departed and abandoned the whole of Egypt without ever turning back."
32,Section13Sent2,"But now he chiefly prides himself on his nourishing it and supporting it as a nurse; and when he who sees beholds the warlike and authoritative part of it overwhelmed in the sea and destroyed, he sings a hymn to God."
33,Section14Sent1,"It is therefore a juvenile disposition, which is not yet able"
34,Section14Sent2,"to tend the sheep with the legitimate genuine virtues, that is to say, to govern and superintend the irrational nature existing in accordance with the soul, but which still with its illegitimate brethren, honours the things which appear good, in preference to joining his legitimate brothers and to those things which really are good."
35,Section15Sent1,"But he is spoken of as ""youngest,"" even although he keeps on increasing and improving for the better, in comparison with the perfect man, who thinks nothing honourable but what is good."
36,Section15Sent2,"On which account he says in an encouraging manner, by way of exhortation, ""Return to me,"" a phrase equivalent to, ""Desire the elder opinion."""
37,Section15Sent3,"Do not be in everything aiming at innovation, do now love virtue for herself alone; do not, like a foolish child dazzled by the splendour of the events of fortune, allow yourself to be filled entirely by deceit and erroneous opinions."
38,Section16Sent1,"It has therefore been proved, that in many passages Moses is in the habit of calling a person young, having regard not to the age of the body, but to the desire of the soul for innovation; and also we will now proceed to show that he calls some persons elders, not because they are oppressed by old age, but as being worthy of honour and respect."
