,ID,StringText
0,Section1Sent1,„Σάρα δὲ ἡ γυνὴ Ἀβραὰμ οὐκ ἔτικτεν αὐτῷ.
1,Section1Sent2,"ἦν δὲ αὐτῇ 
παιδίσκη Αἰγυπτία, ᾗ ὄνομα Ἄγαρ."
2,Section1Sent3,"εἶπε δὲ Σάρα πρὸς Ἀβραάμ·
ἰδού,"
3,Section1Sent4,"συνέκλεισέ με κύριος τοῦ μὴ τίκτειν, εἴσελθε πρὸς τὴν παιδίσκην
 μου, ἵνα τεκνοποιήσῃς ἐξ αὐτῆς“ (Gen. 16,1.2)."
4,Section2Sent1,"τὸ Σάρας ὄνομα
μεταληφθέν ἐστιν „ἀρχή μου“·"
5,Section2Sent2,"φρόνησις δὲ ἡ ἐν ἐμοὶ καὶ σωφροσύνη 
ἡ ἐν ἐμοὶ καὶ ἡ ἐπὶ μέρους δικαιοσύνη καὶ ἑκάστη τῶν ἄλλων ἀρετῶν,
ἣν περὶ ἐμὲ μόνον εἶναι συμβέβηκεν, ἀρχή ἐστιν ἐμοῦ μόνου·"
6,Section2Sent3,"ἐπιστατεῖ
γάρ μου καὶ ἡγεμονεύει πειθαρχεῖν ἐγνωκότος, βασιλὶς ἐκ φύσεως ὑπάρχουσα."
7,Section3Sent1,"ταύτην Μωυσῆς, τὸ παραδοξότατον, καὶ στεῖραν ἀποφαίνει καὶ
πολυγονωτάτην, εἴ γε τὸ πολυανθρωπότατον τῶν ἐθνῶν ἐξ αὐτῆς 
ὁμολογεῖ γενέσθαι."
8,Section3Sent2,"τῷ γὰρ ὄντι ἡ ἀρετὴ πρὸς μὲν τὰ φαῦλα
πάντα ἐστείρωται,"
9,Section3Sent3,"τῶν δὲ ἀγαθῶν εὐτοκίᾳ χρῆται τοιαύτῃ, ὡς
 μηδὲ μαιευτικῆς τέχνης"
10,Section3Sent4,— φθάνει γὰρ ἀποτίκτουσα — δεῖσθαι.
11,Section4Sent1,τὰ
12,Section4Sent2,"μὲν οὖν ζῷα καὶ φυτὰ διαλείποντα τὸν πλείω χρόνον ἅπαξ ἢ δὶς τὸ
πλεῖστον τοὺς οἰκείους δι’ ἐνιαυτοῦ φέρει καρπούς, καθ’ ὃν ἔταξεν ἀριθμὸν
ἑκάστοις ἡ φύσις ἐναρμοζόμενον ταῖς ἐτησίοις ὥραις· ἀρετὴ δὲ οὐ
διαλείπουσα ἀνελλιπῶς δὲ καὶ ἀδιαστάτως κατὰ τοὺς ἀμερεῖς χρόνους
 ἀεὶ γεννᾷ, βρέφη μὲν οὐδαμῶς, λόγους δὲ ἀστείους καὶ βουλὰς   ἀνεπιλήπτους
 καὶ ἐπαινετὰς πράξεις."
13,Section5Sent1,"ἀλλ’ οὔτε πλοῦτος, ᾧ μὴ δυνατόν ἐστι χρῆσθαι, τοὺς κεκτημένους ὠφελεῖ"
14,Section5Sent2,"οὔτε ἡ φρονήσεως εὐτοκία, ἐὰν
μὴ καὶ ἡμῖν αὐτοῖς τὰ ὠφέλιμα τίκτῃ."
15,Section5Sent3,"τοὺς μὲν γὰρ εἰσάπαν ἀξίους
ἔκρινε τῆς συμβιώσεως αὐτῆς,"
16,Section5Sent4,"οἱ δ’ οὔπω τὴν ἡλικίαν ἔδοξαν ἔχειν,
 ὡς ἐπαινετῆς καὶ σώφρονος οἰκουρίας ἀνέχεσθαι· οἷς τὰ προτέλεια τῶν
γάμων ἐφῆκε ποιεῖσθαι, ἐλπίδα καὶ τοῦ θύσειν τοὺς γάμους παρασχοῦσα."
17,Section6Sent1,"Σάρα οὖν, ἡ ἄρχουσά μου τῆς ψυχῆς ἀρετή, ἔτικτε μέν, ἐμοὶ δ’ οὐκ ἔτικτε·"
18,Section6Sent2,"οὐ γὰρ ἠδυνάμην πω νέος ὢν τὰ γεννήματα αὐτῆς παραδέχεσθαι,
τὸ φρονεῖν, τὸ δικαιοπραγεῖν, τὸ εὐσεβεῖν, διὰ τὸ πλῆθος τῶν νόθων
 παίδων,"
19,Section6Sent3,οὓς ἀπεκύησάν μοι αἱ κεναὶ δόξαι.
20,Section6Sent4,"τροφαὶ γὰρ αἱ τούτων καὶ
συνεχεῖς ἐπιμέλειαι καὶ φροντίδες ἄληκτοι τῶν γνησίων καὶ ὡς ἀληθῶς
ἀστῶν ὀλιγωρεῖν ἠνάγκασαν."
21,Section7Sent1,"καλὸν οὖν εὔχεσθαι τὴν ἀρετὴν μὴ μόνον τίκτειν, ἣ καὶ δίχα εὐχῆς εὐτοκεῖ, ἀλλὰ καὶ ἡμῖν αὐτοῖς τίκτειν, ἵνα τῶν
σπερμάτων καὶ γεννημάτων αὐτῆς μεταλαγχάνοντες εὐδαιμονῶμεν."
22,Section7Sent2,"εἴωθε
 γὰρ θεῷ μόνῳ τίκτειν, τὰς ἀπαρχὰς ὧν ἔτυχεν ἀγαθῶν εὐχαρίστως
ἀποδιδοῦσα τῷ τὴν ἀειπάρθενον μήτραν, ὥς φησι Μωυσῆς, ἀνοίξαντι
(Gen. 29, 31)."
23,Section8Sent1,"καὶ γὰρ τὴν λυχνίαν, τὸ ἀρχέτυπον τοῦ μιμήματος παράδειγμα, ἐκ τοῦ ἑνὸς μέρους φησὶ φαίνειν, δηλονότι τοῦ πρὸς
θεόν·"
24,Section8Sent2,"ἑβδόμη γὰρ οὖσα καὶ μέση τῶν ἓξ καλαμίσκων δίχα διῃρημένων
 εἰς τριάδας, ἑκατέρωθεν δορυφορούντων, ἄνω τὰς αὐγὰς
ἀποστέλλει πρὸς τὸ ὄν, λαμπρότερον ἡγουμένη τὸ φέγγος ἢ ὡς δύνασθαι"
25,Section9Sent1,"θνητὴν αὐτῷ προσβάλλειν ὄψιν (Exod. 25,37.31)."
26,Section9Sent2,"διὰ τοῦτο οὔ
φησι μὴ τίκτειν τὴν Σάραν, ἀλλ’ αὐτῷ τινι μὴ τίκτειν."
27,Section9Sent3,"οὐ γάρ ἐσμεν
ἱκανοὶ δέξασθαί πω γονὰς ἀρετῆς, εἰ μὴ πρότερον ἐντύχοιμεν αὐτῆς τῇ
θεραπαινίδι·"
28,Section9Sent4,"θεραπαινὶς δὲ σοφίας ἡ διὰ τῶν προπαιδευμάτων ἐγκύκλιος
 μουσική."
29,Section10Sent1,"ὥσπερ γὰρ ἐν μὲν οἰκίαις αὔλειοι πρόκεινται κλισιάδων, ἐν 
δὲ πόλεσι τὰ προάστεια, δι’ ὧν εἴσω βαδίζειν ἔνεστιν, οὕτως καὶ
ἀρετῆς πρόκειται τὰ ἐγκύκλια·"
30,Section10Sent2,"ταῦτα γὰρ ὁδός ἐστιν ἐπ’ ἐκείνην
φέρουσα."
31,Section11Sent1,"Χρὴ δ’ εἰδέναι, ὅτι τῶν μεγάλων ὑποθέσεων μεγάλα καὶ τὰ προοίμια
εἶναι συμβέβηκε."
32,Section11Sent2,μεγίστη δὲ ὑπόθεσις ἀρετή·
33,Section11Sent3,"καὶ γὰρ περὶ μεγίστην 
ὕλην καταγίνεται, τὸν σύμπαντα ἀνθρώπων βίον."
